 Deff   Wavelength  Qext              Qabs              Qsca              Albedo            Parea             Volume            Gfactor
   10        03.00  1.9215271500e+00  9.7594249500e-01  9.4558465500e-01  4.9210059561e-01  2.8320736700e+02  1.8880576200e+03  9.3798967687e-01
   10        03.10  2.0754649600e+00  1.0236290700e+00  1.0518358900e+00  5.0679530142e-01  2.8320736700e+02  1.8880576200e+03  9.1749278388e-01
   10        03.20  2.1347236600e+00  1.0597556800e+00  1.0749679800e+00  5.0356306071e-01  2.8320736700e+02  1.8880576200e+03  9.2441084518e-01
   10        03.30  2.1731627000e+00  1.0108233700e+00  1.1623393300e+00  5.3486070325e-01  2.8320736700e+02  1.8880576200e+03  9.0681784709e-01
   10        03.40  2.2271828700e+00  7.8985977200e-01  1.4373230980e+00  6.4535477412e-01  2.8320736700e+02  1.8880576200e+03  8.4744724306e-01
   10        03.50  2.2891037500e+00  5.0496089500e-01  1.7841428550e+00  7.7940672414e-01  2.8320736700e+02  1.8880576200e+03  7.8756601244e-01
   10        03.60  2.3443796600e+00  3.9788052400e-01  1.9464991360e+00  8.3028323834e-01  2.8320736700e+02  1.8880576200e+03  7.8160002858e-01
   10        03.70  2.3833510900e+00  3.0142810900e-01  2.0819229810e+00  8.7352760982e-01  2.8320736700e+02  1.8880576200e+03  7.8227616112e-01
   10        03.80  2.4081993100e+00  2.4230913800e-01  2.1658901720e+00  8.9938160974e-01  2.8320736700e+02  1.8880576200e+03  7.8789208901e-01
   10        03.90  2.4074027500e+00  2.9320275800e-01  2.1141999920e+00  8.7820784952e-01  2.8320736700e+02  1.8880576200e+03  8.0069730209e-01
   10        04.00  2.4124207500e+00  3.4036761500e-01  2.0720531350e+00  8.5891034348e-01  2.8320736700e+02  1.8880576200e+03  8.1422762125e-01
   10        04.10  2.4189138400e+00  3.8409876800e-01  2.0348150720e+00  8.4121023178e-01  2.8320736700e+02  1.8880576200e+03  8.2839039520e-01
   10        04.20  2.4267244300e+00  4.2426130200e-01  2.0024631280e+00  8.2517120743e-01  2.8320736700e+02  1.8880576200e+03  8.4324039610e-01
   10        04.30  2.4325604400e+00  4.6553072300e-01  1.9670297170e+00  8.0862521837e-01  2.8320736700e+02  1.8880576200e+03  8.5848265818e-01
   10        04.40  2.4215049700e+00  5.2265554700e-01  1.8988494230e+00  7.8416086133e-01  2.8320736700e+02  1.8880576200e+03  8.6754396211e-01
   10        04.50  2.4100942600e+00  5.7548129600e-01  1.8346129640e+00  7.6122041965e-01  2.8320736700e+02  1.8880576200e+03  8.7588610316e-01
   10        04.60  2.4295251400e+00  4.9721178400e-01  1.9323133560e+00  7.9534610455e-01  2.8320736700e+02  1.8880576200e+03  8.6608096045e-01
   10        04.70  2.4498167000e+00  4.2254662500e-01  2.0272700750e+00  8.2751908541e-01  2.8320736700e+02  1.8880576200e+03  8.5463796220e-01
   10        04.80  2.4613335100e+00  3.6129966400e-01  2.1000338460e+00  8.5320978952e-01  2.8320736700e+02  1.8880576200e+03  8.4728418683e-01
   10        04.90  2.4623556100e+00  3.1452214700e-01  2.1478334630e+00  8.7226778061e-01  2.8320736700e+02  1.8880576200e+03  8.4356175843e-01
   10        05.00  2.4657025300e+00  2.7135536100e-01  2.1943471690e+00  8.8994805428e-01  2.8320736700e+02  1.8880576200e+03  8.4137160723e-01
   10        05.10  2.4467325200e+00  2.7666732700e-01  2.1700651930e+00  8.8692375454e-01  2.8320736700e+02  1.8880576200e+03  8.4411854250e-01
   10        05.20  2.4302561300e+00  2.8243640100e-01  2.1478197290e+00  8.8378327802e-01  2.8320736700e+02  1.8880576200e+03  8.4799954700e-01
   10        05.30  2.4132101500e+00  2.8847575200e-01  2.1247343980e+00  8.8045974695e-01  2.8320736700e+02  1.8880576200e+03  8.5290663624e-01
   10        05.40  2.3722164600e+00  3.2914185500e-01  2.0430746050e+00  8.6125134002e-01  2.8320736700e+02  1.8880576200e+03  8.5908523429e-01
   10        05.50  2.3341469800e+00  3.6803492900e-01  1.9661120510e+00  8.4232572663e-01  2.8320736700e+02  1.8880576200e+03  8.6644052256e-01
   10        05.60  2.2996084700e+00  4.0537568900e-01  1.8942327810e+00  8.2371969216e-01  2.8320736700e+02  1.8880576200e+03  8.7487325409e-01
   10        05.70  2.2425007800e+00  4.7300201700e-01  1.7694987630e+00  7.8907386735e-01  2.8320736700e+02  1.8880576200e+03  8.8380585482e-01
   10        05.80  2.1938536200e+00  5.4365986600e-01  1.6501937540e+00  7.5218954399e-01  2.8320736700e+02  1.8880576200e+03  8.9275674837e-01
   10        05.90  2.1531617600e+00  6.1831057100e-01  1.5348511890e+00  7.1283598730e-01  2.8320736700e+02  1.8880576200e+03  9.0001899142e-01
   10        06.00  2.1400508900e+00  6.6074222300e-01  1.4793086670e+00  6.9124929408e-01  2.8320736700e+02  1.8880576200e+03  9.0233315819e-01
   10        06.10  2.1485238100e+00  6.6806846900e-01  1.4804553410e+00  6.8905698606e-01  2.8320736700e+02  1.8880576200e+03  9.0156083729e-01
   10        06.20  2.1565997600e+00  6.7479354100e-01  1.4818062190e+00  6.8710302509e-01  2.8320736700e+02  1.8880576200e+03  8.9928908110e-01
